name,adress,prefecture
Kumezaki High,Kumezaki High Address 1,Various
Egashira High,Egashira High Address 1,Various
Yutsumi Gakuen,Yutsumi Gakuen Address 1,Various
Ojizawa High,Ojizawa High Address 1,Various
Ikemoto Commerce High,Ikemoto Commerce High Address 1,Various
Yamanaka Commercial,Yamanaka Commercial Address 1,Various
Nagane Industry High,Nagane Industry High Address 1,Various
Obayashi Academy,Obayashi Academy Address 1,Various
Kamino High,Kamino High Address 1,Various
Hakozaki High,Hakozaki High Address 1,Various
Harada West High,Harada West High Address 1,Various
Edarikan High,Edarikan High Address 1,Various
Kawazu Academy,Kawazu Academy Address 1,Various
Ropponmatsu High,Ropponmatsu High Address 1,Various
Matsuki Commercial,Matsuki Commercial Address 1,Various
Nakasone High,Nakasone High Address 1,Various
Kinjo Second,Kinjo Second Address 1,Various
Dougita High,Dougita High Address 1,Various
Muranodai High,Muranodai High Address 1,Various
Kawasanada Gakuin,Kawasanada Gakuin Address 1,Various
Takara Daichi High,Takara Daichi High Address 1,Various
Karugaoka High,Karugaoka High Address 1,Various
Kachiyama High,Kachiyama High Address 1,Various
Tao Gakuin,Tao Gakuin Address 1,Various
Iizumi High,Iizumi High Address 1,Various
Kawaden Koygyo High,Kawaden Koygyo High Address 1,Various
Iwai High,Iwai High Address 1,Various
Senba High,Senba High Address 1,Various
Shigemitsu,Shigemitsu Address 1,Various
Chogen International,Chogen International Address 1,Various
Kamakura High,Kamakura High Address 1,Fukushima
Yamanoe High,Yamanoe High Address 1,Miyagi
Nakamiya South High,Nakamiya South High Address 1,Kagawa
Kogomo North High,Kogomo North High Address 1,Niigata
Seirin High,Seirin High Address 1,Tokyo
Kaijo High,Kaijo High Address 1,Kanagawa
Too Academy,Too Academy Address 1,Tokyo
Shutoku High,Shutoku High Address 1,Tokyo
Rakuzan High,Rakuzan High Address 1,Kyoto
Yosen High,Yosen High Address 1,Akita
