name,creation_date
Kumezaki High,2017-02-20
Egashira High,2021-12-21
Yutsumi Gakuen,2011-08-29
Ojizawa High,2013-07-27
Ikemoto Commerce High,2017-03-13
Yamanaka Commercial,2013-08-16
Nagane Industry High,2012-04-06
Obayashi Academy,2024-05-14
Kamino High,2012-03-23
Hakozaki High,2018-03-30
Harada West High,2016-03-06
Edarikan High,2015-04-24
Kawazu Academy,2022-01-01
Ropponmatsu High,2017-05-13
Matsuki Commercial,2013-09-18
Nakasone High,2018-11-16
Kinjo Second,2020-07-10
Dougita High,2014-09-30
Muranodai High,2023-02-21
Kawasanada Gakuin,2025-07-21
Takara Daichi High,2021-12-31
Karugaoka High,2020-07-14
Kachiyama High,2013-12-03
Tao Gakuin,2022-01-01
Iizumi High,2015-04-06
Kawaden Koygyo High,2015-11-20
Iwai High,2023-03-03
Senba High,2022-05-24
Shigemitsu,2023-11-25
Chogen International,2012-07-16
Kamakura High,2011-08-05
Yamanoe High,2017-04-20
Nakamiya South High,2019-03-05
Kogomo North High,2016-01-03
Seirin High,2023-06-10
Kaijo High,2011-04-21
Too Academy,2018-09-16
Shutoku High,2022-02-20
Rakuzan High,2025-03-23
Yosen High,2019-05-26
